tile_x,tile_y,panoid,lat,lon,is_third_party,is_official_panoid
75036,47440,60rNX9gItyMId8nv0FQyHg,44.4336244,26.0947216,0,1
75036,47440,xMqIbYJHNudXfJtWUFQtPg,44.4335287,26.0947263,0,1
75036,47440,aaFRzerrBSccAk9phEatew,44.4334356,26.094733,0,1
75036,47440,eFHEQgJS8lAkQ4k6-sOZwQ,44.433342,26.0947304,0,1
75036,47440,w5f6CK31_xK1XhWql9vSZg,44.4332454,26.0947298,0,1
75036,47440,fkEnuFUsxftom9qKJ1z8Pg,44.4331811,26.0946369,0,1
75036,47440,EGXDeMhnGLh4v8N_fJEhEQ,44.4331809,26.094515,0,1
75036,47440,D-GUQMtpd1IwGH83pQnuNw,44.4331883,26.0943991,0,1
75036,47440,99qaqVLNlI3Cpe6kh8Gn-A,44.4331967,26.0942719,0,1
75036,47440,rPdn20pIddv29SDUWtDQWQ,44.4332054,26.0941445,0,1
75036,47440,z2J9H-brn9219Vf9XddKeA,44.4332143,26.0940089,0,1
75036,47440,m2Rlgt6eMuAslpsQxMTw4Q,44.4320378,26.0934321,0,1
75036,47440,QcqoGZCFCzCY37qqITZD8A,44.4319605,26.0935096,0,1
75036,47440,74hYuApKfq6m9H5i_5zF5A,44.4318855,26.0935917,0,1
75036,47440,WQ6lgDgNTPu8MKLHqe5uzQ,44.4319746,26.0936377,0,1
75036,47440,XSD-8G_euBeO-BA0cSd2eQ,44.4318156,26.0936675,0,1
75036,47440,YHhUKFkb9voF1m_ZEmHM4w,44.432048,26.0935598,0,1
75036,47440,CTWKtF6FGgb7AZBtUubEqA,44.431902,26.0937262,0,1
75036,47440,wHXH0YnMe_v-doh4ce2Nkg,44.4318221,26.0937933,0,1
75036,47440,c2fzZPMzVSz5rda6-Wz2Aw,44.4327156,26.0939958,0,1
75036,47440,6XZPJ3uv6-73y8AZJbIdoQ,44.4326066,26.0940883,0,1
75036,47440,sfCqFiO6vNWW-KTEEZMSkQ,44.4326006,26.0942306,0,1
75036,47440,q_tPGe2EfeicTaTzySwSGA,44.4326575,26.0943485,0,1
75036,47440,ki7UD0fGKoBcBRf-gONH2A,44.432671,26.0944766,0,1
75036,47440,gbV4IL_QFuN77mFNCsXADw,44.4326778,26.0945914,0,1
75036,47440,V6v-wYATzF1V_o6WK0A7bg,44.4327729,26.0945896,0,1
75036,47440,rDdndVFLohVtvCwn248gAA,44.4328625,26.0945804,0,1
75036,47440,oDKRXhODFswCYf3opjpL-w,44.4329527,26.0945721,0,1
75036,47440,iqY4Qf2pVimh5_dKkBG67A,44.4325134,26.0942429,0,1
75036,47440,M89tgH40mibgvoFE8n0unQ,44.432472,26.0941959,0,1
75036,47440,QDJ7QgjeMQtPOLWkigWVeg,44.4323954,26.0941467,0,1
75036,47440,sgVrgQoEBYVNHRuxTepBCQ,44.4330452,26.0945593,0,1
75036,47440,piemNqsnx3sjMaNHTUFu6w,44.4328211,26.0939781,0,1
75036,47440,zBNZWHbov1zrXdEvblx7iw,44.4329156,26.0939774,0,1
75036,47440,fVb3Bse3uDb1ephff1xevQ,44.4330957,26.09454,0,1
75036,47440,fzVOBZn9R_rGFN7l3hTwjg,44.4331034,26.0944075,0,1
75036,47440,mMsVN0gYC_XSRBRHFQJFMw,44.4330096,26.0939774,0,1
75036,47440,cT_U2Cr6XIVenKO886Ib4Q,44.4331012,26.0939713,0,1
75036,47440,2FKNoh4O2grxN_6SaskXCw,44.4331215,26.0940753,0,1
75036,47440,4zbO8VcQeB_TBoH4lnKM3A,44.4331175,26.0942114,0,1
75036,47440,noEfDDpybWH3761SwTOpjQ,44.433271,26.0941031,0,1
75036,47440,jH61ei7Y3O7B_lxNgHcanw,44.4332594,26.0942226,0,1
75036,47440,1r2uP4jmjbQGkkRVxLHIGQ,44.4332517,26.0943413,0,1
75036,47440,Z0M5Vsdp1fOSyxwybUlLCQ,44.4332437,26.0944648,0,1
75036,47440,iUlJgxhJZ3mfVSS-8v5EEQ,44.4325137,26.0928757,0,1
